S.No,City,Air Quality,Index Value,Prominent Pollutant,Based on Number of Monitoring Stations
71,Fatehabad,Moderate,120,O3,1
72,Firozabad,Satisfactory,78,PM10,2
73,Gadag,Good,46,SO2,1
74,Gandhinagar,Satisfactory,70,SO2,1
75,Gangtok,Satisfactory,60,SO2,1
76,Gaya,Satisfactory,62,"PM10, PM2.5",3
77,Ghaziabad,Moderate,110,PM10,3
78,Gorakhpur,Moderate,104,PM10,1
79,Greater Noida,Moderate,142,PM10,2
80,Gummidipoondi,Satisfactory,100,PM10,1
81,Gurugram,Moderate,109,PM2.5,4
82,Guwahati,Satisfactory,78,"CO, SO2",3
83,Gwalior,Good,48,"PM10, PM2.5",3
84,Hajipur,Moderate,109,PM10,1
85,Haldia,Satisfactory,62,PM10,1
86,Hanumangarh,Moderate,111,PM10,1
87,Hapur,Satisfactory,70,NO2,1
88,Haveri,Good,47,PM10,1
89,Howrah,Satisfactory,88,"CO, PM10",3
90,Hubballi,Satisfactory,88,PM10,2
91,Hyderabad,Satisfactory,73,"O3, PM10",12
92,Indore,Satisfactory,83,CO,1
93,Jabalpur,Satisfactory,79,PM10,3
94,Jaipur,Moderate,115,PM10,5
95,Jaisalmer,Moderate,129,PM10,1
96,Jalandhar,Satisfactory,72,PM10,1
97,Jalgaon,Good,43,PM10,1
98,Jalna,Good,37,NO2,1
99,Jhalawar,Satisfactory,67,PM10,1
100,Jhansi,Satisfactory,84,PM10,1
101,Jhunjhunu,Moderate,106,PM10,1
102,Jind,Satisfactory,71,PM10,1
103,Jodhpur,Moderate,127,PM10,5
104,Kaithal,Satisfactory,85,PM2.5,1
105,Kanchipuram,Satisfactory,51,CO,1
106,Kannur,Satisfactory,70,PM10,1
107,Kanpur,Satisfactory,62,"CO, PM2.5",4
108,Karauli,Satisfactory,57,O3,1
109,Karnal,Satisfactory,67,PM10,1
110,Kashipur,Satisfactory,70,PM10,1
111,Katihar,Moderate,108,PM10,1
112,Katni,Satisfactory,67,PM10,1
113,Khanna,Satisfactory,87,PM10,1
114,Khurja,Moderate,119,PM2.5,1
115,Kishanganj,Satisfactory,73,PM10,1
116,Kochi,Satisfactory,69,PM10,1
117,Kohima,Good,50,SO2,1
118,Kolhapur,Good,49,PM10,1
119,Kolkata,Satisfactory,77,PM10,7
120,Kollam,Satisfactory,84,PM10,1
121,Koppal,Good,33,SO2,1
122,Korba,Satisfactory,54,O3,2
123,Kota,Satisfactory,85,PM10,3
124,Latur,Satisfactory,67,PM10,1
125,Lucknow,Satisfactory,71,"O3, PM10",6
126,Ludhiana,Satisfactory,74,PM10,1
127,Madikeri,Good,39,PM10,1
128,Mahad,Good,46,PM10,1
129,Maihar,Good,27,PM10,1
130,Mandi Gobindgarh,Good,46,PM10,1
131,Mandideep,Satisfactory,51,PM10,1
132,Mandikhera,Satisfactory,94,PM10,1
133,Manesar,Satisfactory,75,PM10,1
134,Meerut,Satisfactory,60,"PM10, PM2.5",3
135,Moradabad,Satisfactory,87,PM10,5
136,Motihari,Satisfactory,73,PM10,1
137,Mumbai,Satisfactory,62,"CO, PM10",19
138,Munger,Moderate,159,PM10,1
139,Muzaffarnagar,Satisfactory,89,PM10,1
140,Muzaffarpur,Moderate,126,"CO, PM10",2
141,Mysuru,Satisfactory,65,PM10,1
142,Nagaur,Moderate,126,PM10,1
143,Nagpur,Satisfactory,66,PM10,4
144,Nalbari,Satisfactory,92,PM10,1
145,Nanded,Satisfactory,77,PM2.5,1
146,Narnaul,Satisfactory,87,PM10,1
147,Nashik,Good,42,PM2.5,3
148,Navi Mumbai,Satisfactory,51,PM10,6
149,Nayagarh,Satisfactory,65,NO2,1
150,Noida,Moderate,102,"PM10, PM2.5",4
151,Pali,Moderate,109,PM10,1
152,Palwal,Good,50,PM2.5,1
153,Panchkula,Satisfactory,66,PM2.5,1
154,Panipat,Moderate,147,PM10,1
155,Patiala,Satisfactory,62,O3,1
156,Patna,Satisfactory,89,"PM10, PM2.5",6
157,Pimpri Chinchwad,Good,41,PM10,2
158,Pithampur,Satisfactory,72,PM10,1
159,Pratapgarh,Satisfactory,100,PM10,1
160,Prayagraj,Satisfactory,74,PM2.5,3
161,Puducherry,Satisfactory,68,PM10,1
162,Pune,Satisfactory,84,"NO2, PM2.5",7
163,Purnia,Satisfactory,71,PM10,1
164,Raichur,Satisfactory,87,O3,1
165,Raipur,Good,39,PM10,3
166,Rajamahendravaram,Satisfactory,56,PM10,1
167,Rajgir,Moderate,101,PM10,1
168,Rajsamand,Moderate,107,PM10,1
169,Ramanagara,Satisfactory,63,PM10,1
170,Ramanathapuram,Good,36,PM10,1
171,Ratlam,Satisfactory,63,PM10,1
172,Rishikesh,Good,33,O3,1
173,Rohtak,Moderate,120,PM2.5,1
174,Rourkela,Satisfactory,78,PM2.5,1
175,Rupnagar,Satisfactory,76,PM10,1
176,Sagar,Good,50,PM10,1
177,Saharsa,Moderate,149,CO,1
178,Samastipur,Satisfactory,72,PM2.5,1
179,Sangli,Good,36,PM10,1
180,Sasaram,Moderate,103,CO,1
181,Satna,Satisfactory,64,PM10,1
