year,month,1s,2s,3s,4s,5-10s,10-20s,20s+
2021,12,139.0,9.0,8.0,4.0,8.0,1.0,1.0
2022,1,141.0,8.0,9.0,4.0,6.0,1.0,1.0
2022,2,139.0,8.0,8.0,4.0,9.0,1.0,1.0
2022,3,139.0,8.0,9.0,4.0,9.0,1.0,1.0
2022,4,140.0,7.0,12.0,3.0,9.0,1.0,1.0
2022,5,145.0,10.0,9.0,5.0,6.0,1.0,1.0
2022,6,147.0,12.0,4.0,3.0,9.0,2.0,1.0
2022,7,146.0,9.0,8.0,3.0,7.0,2.0,1.0
2022,8,151.0,9.0,11.0,4.0,6.0,2.0,1.0
2022,9,153.0,12.0,10.0,4.0,7.0,2.0,1.0
2022,10,161.0,11.0,8.0,4.0,7.0,2.0,1.0
2022,11,168.0,12.0,8.0,5.0,7.0,2.0,1.0
2022,12,166.0,13.0,8.0,6.0,7.0,2.0,1.0
2023,1,164.0,12.0,14.0,6.0,8.0,2.0,1.0
2023,2,167.0,13.0,15.0,6.0,8.0,2.0,1.0
2023,3,191.0,18.0,12.0,5.0,9.0,2.0,1.0
2023,4,187.0,16.0,13.0,7.0,8.0,3.0,1.0
2023,5,191.0,18.0,12.0,6.0,9.0,3.0,1.0
2023,6,201.0,13.0,18.0,7.0,9.0,3.0,1.0
2023,7,205.0,12.0,15.0,8.0,11.0,2.0,1.0
2023,8,202.0,13.0,16.0,8.0,10.0,3.0,1.0
2023,9,203.0,16.0,13.0,10.0,10.0,1.0,2.0
2023,10,203.0,18.0,13.0,7.0,11.0,2.0,2.0
2023,11,210.0,15.0,14.0,10.0,11.0,1.0,2.0
2023,12,211.0,18.0,15.0,7.0,11.0,2.0,2.0
