,year,avg
0,2015,1.4090909090909092
1,2016,1.606060606060606
2,2017,1.4814814814814814
3,2018,1.72
4,2019,1.6347826086956523
5,2020,1.762962962962963
6,2021,1.7647058823529411
7,2022,1.6172248803827751
8,2023,1.7306273062730628
