City,year,No. Stations
Bahadurgarh,2019,1.0
Bahadurgarh,2020,1.0
Bahadurgarh,2021,1.0
Bahadurgarh,2022,1.0
Bahadurgarh,2023,1.0
Balasore,2023,1.0
Ballabgarh,2019,1.0
Ballabgarh,2020,1.0
Ballabgarh,2021,1.0
Ballabgarh,2022,1.0
Ballabgarh,2023,1.0
Banswara,2023,1.0
Baran,2023,1.0
Barbil,2023,1.0
Bareilly,2022,1.6403940886699508
Bareilly,2023,1.8428571428571427
Baripada,2022,1.0
Baripada,2023,1.0
Barmer,2023,1.0
Barrackpore,2023,1.0
Bathinda,2018,1.0
Bathinda,2019,1.0
Bathinda,2020,1.0
Bathinda,2021,1.0
Bathinda,2022,1.0
Bathinda,2023,1.0
Begusarai,2022,1.0
Begusarai,2023,1.0
Belapur,2023,1.0
Belgaum,2022,1.0
Belgaum,2023,1.0
Bengaluru,2015,2.6186046511627907
Bengaluru,2016,3.061046511627907
Bengaluru,2017,3.6983240223463687
Bengaluru,2018,5.989041095890411
Bengaluru,2019,8.167123287671233
Bengaluru,2020,8.478142076502733
Bengaluru,2021,8.189041095890412
Bengaluru,2022,7.443835616438356
Bengaluru,2023,10.33972602739726
Bettiah,2021,1.0
Bettiah,2022,1.0
Bettiah,2023,1.0
Bhagalpur,2021,1.794871794871795
Bhagalpur,2022,1.8615819209039548
Bhagalpur,2023,1.9211267605633804
Bharatpur,2023,1.0
Bhilai,2021,1.0
Bhilai,2022,1.0526315789473684
Bhilai,2023,2.4583333333333335
Bhilwara,2023,1.0
Bhiwadi,2017,1.0
Bhiwadi,2018,1.0
Bhiwadi,2019,1.0
Bhiwadi,2020,1.0
Bhiwadi,2021,1.0
Bhiwadi,2022,1.0
Bhiwadi,2023,1.0
Bhiwandi,2023,1.0
Bhiwani,2019,1.0
Bhiwani,2020,1.0
Bhiwani,2021,1.0
Bhiwani,2022,1.0
Bhiwani,2023,1.0
Bhopal,2019,1.0
Bhopal,2020,1.0
Bhopal,2021,1.0
Bhopal,2022,1.2865168539325842
Bhopal,2023,2.741758241758242
Bhubaneswar,2023,1.9661016949152543
Bidar,2021,1.0
Bidar,2022,1.0
Bidar,2023,1.0
Bihar Sharif,2021,1.0
Bihar Sharif,2022,1.0
Bihar Sharif,2023,1.0
Bikaner,2023,1.0
Bilaspur,2021,1.0
Bilaspur,2022,1.0
Bilaspur,2023,1.0
Bileipada,2022,1.0
Bileipada,2023,1.0
Brajrajnagar,2018,1.0
Brajrajnagar,2019,1.0
Brajrajnagar,2020,1.0
Brajrajnagar,2021,1.0
Brajrajnagar,2022,1.0
Brajrajnagar,2023,1.0
Bulandshahr,2018,1.0
