City,year,No. Stations
Thiruvananthapuram,2019,1.0
Thiruvananthapuram,2020,1.6181318681318682
Thiruvananthapuram,2021,1.8176795580110496
Thiruvananthapuram,2022,1.7458563535911602
Thiruvananthapuram,2023,1.8033240997229918
Thoothukudi,2020,1.0
Thoothukudi,2021,1.0
Thoothukudi,2022,1.0
Thoothukudi,2023,1.0
Thrissur,2020,1.0
Thrissur,2021,1.0
Thrissur,2022,1.0
Thrissur,2023,1.0
Tiruchirappalli,2023,1.0
Tirupati,2016,1.0
Tirupati,2017,1.0
Tirupati,2018,1.0
Tirupati,2019,1.0
Tirupati,2020,1.0
Tirupati,2021,1.0
Tirupati,2022,1.1124620060790273
Tirupati,2023,1.7443181818181819
Tirupur,2022,1.0
Tirupur,2023,1.0
Tonk,2023,1.0
Tumakuru,2023,1.0
Tumidih,2023,1.0
Udaipur,2017,1.0
Udaipur,2018,1.0
Udaipur,2019,1.0
Udaipur,2020,1.0
Udaipur,2021,1.0
Udaipur,2022,1.0
Udaipur,2023,1.0
Udupi,2021,1.0
Udupi,2022,1.0
Udupi,2023,1.0
Ujjain,2017,1.0
Ujjain,2018,1.0
Ujjain,2019,1.0
Ujjain,2020,1.0
Ujjain,2021,1.0
Ujjain,2022,1.0
Ujjain,2023,1.0
Ulhasnagar,2023,1.0
Vapi,2019,1.0
Vapi,2020,1.0
Vapi,2021,1.0
Vapi,2022,1.0
Vapi,2023,1.0
Varanasi,2015,1.0
Varanasi,2016,1.0
Varanasi,2017,1.0
Varanasi,2018,1.0
Varanasi,2019,1.0
Varanasi,2020,1.0
Varanasi,2021,2.4608938547486034
Varanasi,2022,3.76986301369863
Varanasi,2023,3.8904109589041096
Vatva,2019,1.0
Vatva,2020,1.0
Vatva,2021,1.0
Vatva,2022,1.0
Vatva,2023,1.0
Vellore,2022,1.0
Vellore,2023,1.0
Vijayapura,2020,1.0
Vijayapura,2021,1.0
Vijayapura,2022,1.0
Vijayapura,2023,1.0
Vijayawada,2017,1.0
Vijayawada,2018,1.0
Vijayawada,2019,1.0
Vijayawada,2023,1.7298387096774193
Visakhapatnam,2016,1.0
Visakhapatnam,2017,1.477142857142857
Visakhapatnam,2018,1.0
Visakhapatnam,2019,1.0
Visakhapatnam,2020,1.0
Visakhapatnam,2021,1.0
Visakhapatnam,2022,1.0
Visakhapatnam,2023,1.0
Vrindavan,2021,1.0
Vrindavan,2022,1.0
Vrindavan,2023,1.0
Yadgir,2019,1.0
Yadgir,2020,1.0
Yadgir,2021,1.0
Yadgir,2022,1.0
Yadgir,2023,1.0
Yamunanagar,2019,1.0
Yamunanagar,2020,1.0
Yamunanagar,2021,1.0
Yamunanagar,2022,1.0
Yamunanagar,2023,1.0
